job_title,company,location,date_posted,applicants,job_text,seniority_level,employment_type,job_function,industries,date_scraped
Software Engineer,Optello,"San Francisco, CA",53 minutes ago,Be among the first 25 applicants,"['', 'Email Your Resume In Word To', 'Optello is proud to be an Equal Opportunity Employer', ' Node.js', 'Fun Environment:', 'Title:', ' GCP', ' Competitive salary and ISO stock options ($100,000 - $175,000) Excellent medical, vision, dental, and life insurance Comprehensive 401K program Open vacation policy, work from home flexibility', ' Open vacation policy, work from home flexibility', 'Location:', ' JavaScript', 'Career Growth:', 'Requirements:', 'Work:', 'Your Right to Work', ' Competitive salary and ISO stock options ($100,000 - $175,000)', ' Comprehensive 401K program', ' REACT JavaScript Node.js GCP', ' Excellent medical, vision, dental, and life insurance', ' Apply if you are a Software Engineer looking for a growing company in the tech industry!', ' REACT', 'Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : JI1-1609611 -- in the email subject line for your application to be considered.***', 'Salary:']",Entry level,Full-time,Information Technology,Construction,2020-11-03 08:56:07
Security Research Software Engineer,Jobot,"Austin, TX",5 hours ago,Be among the first 25 applicants,"['', ' Attacks on Cryptography ', ' Hands-on experience and expertise in reverse engineering attacks on software (especially mobile apps) Expertise using Kali Linux and various took kits including IDA Pro, Hopper, etc. Fluent knowledge of Cryptographic Attacks Fluent in iOS & Android internals Fluent in Web Application Security Fluent in OWASP top 10 BS, Computer Science or equivalent relevant experience or background  Fundamental understanding of ', ' Ability to code in C/C++, Python, JavaScript, or other scripting languages Knowledge of Processor Architectures Fundamental understanding of Network Security Concepts', 'A Bit About Us', ' Network monitoring and manipulation  Attacks on Cryptography  Produce best practices to avoid creating software vulnerable to attacks  Prototype techniques of detection, obfuscation, and protection  Shape the next generation of protection technologies ', ' Knowledge of Processor Architectures', ' Network monitoring and manipulation ', ""What's In It For You"", ' Competitive Salary, bonus, and equity A high degree of autonomy, ownership, and impact working with cutting edge technology Fully sponsored benefits including health, dental, commuter benefits Company-sponsored 401k program Paid time off, vacation, parental leave, etc.', ' Shape the next generation of protection technologies ', 'Research the latest vulnerabilities and build solutions to protect against them!', ' Research the latest attack tools and techniques for (Mobile, Web, Desktop) Research the current state of iOS Jailbreaks and Tweaks Research the current state of Android rootkits and Malware Analyze software applications at the instruction and data flow level  Identify and report on attack methodology, including but not limited to ', 'Mobile operating systems', 'Debugging and Disassembly Tools', ' Analyze software applications at the instruction and data flow level ', ' Produce best practices to avoid creating software vulnerable to attacks ', ' 30% of your time Advising various Software Engineering teams (some working on existing products and others working on new products) about your research such that they can develop architecture and features to prevent attacks based upon your research.', ' Research the current state of iOS Jailbreaks and Tweaks', ' Fluent in Web Application Security', 'Computer architecture', ' Solid verbal and written communication skills in English Ability to work collaboratively in an Agile distributed environment', ' Fluent knowledge of Cryptographic Attacks', ' Ability to code in C/C++, Python, JavaScript, or other scripting languages', 'Job Details', ' A high degree of autonomy, ownership, and impact working with cutting edge technology', ' Fluent in OWASP top 10', 'Code Injection, Hooking or Redirection', ' Prototype techniques of detection, obfuscation, and protection ', ' Identify and report on attack methodology, including but not limited to ', 'Responsibilities', 'Patching of Data and Instructions', 'Requirements', ' 50% of your time General research of existing and emerging threats to software applications in the mobile, desktop, mobile web, web, Linux and windows domains, vulnerabilities, and techniques used to exploit them. Further, you will research and develop solutions and strategies to prevent the types of attacks that your research identifies.', ' Fundamental understanding of ', ' Competitive Salary, bonus, and equity', 'Cryptography', ' Ability to work collaboratively in an Agile distributed environment', 'OS Modification (Substrates)', ' Fully sponsored benefits including health, dental, commuter benefits', ' Company-sponsored 401k program', ' Expertise using Kali Linux and various took kits including IDA Pro, Hopper, etc.', ' Fluent in iOS & Android internals', ' BS, Computer Science or equivalent relevant experience or background ', ' Fundamental understanding of Network Security Concepts', ' Hands-on experience and expertise in reverse engineering attacks on software (especially mobile apps)', 'Why join us?', ' Solid verbal and written communication skills in English', ' Paid time off, vacation, parental leave, etc.', ' Research the latest attack tools and techniques for (Mobile, Web, Desktop)', ' 20% Post Incident Response If one or more of our customers experience a breach, you’ll reverse engineer the attack and develop solutions to prevent similar future attacks. You’ll share your research with the Software Engineering team and assist them in testing if they’ve solved the issues.', ' Research the current state of Android rootkits and Malware']",Mid-Senior level,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
"Senior Software Engineer, .NET",Jobot,"Kansas City, KS",5 hours ago,Be among the first 25 applicants,"['', ' A strategic approach and strong communicator', ' Expertise in SQL server databases', ' Proven experience in software architecture', 'A Bit About Us', ' Competitive Base Salary! Extremely Competitive Benefits Package! Flexible Work Schedules! Accelerated Career Growth!', ' Bachelors or Masters in a technical field such as Computer Science Previous experience as a .NET Engineer with a collaborative approach Proven experience in software architecture Expertise in SQL server databases .NET framework expertise Exceptional time management skills A strategic approach and strong communicator Preferred, but not required would be to have worked in a fast-growth company that is scaling fast', ' Bachelors or Masters in a technical field such as Computer Science', ' Flexible Work Schedules!', ' Preferred, but not required would be to have worked in a fast-growth company that is scaling fast', ' Exceptional time management skills', 'Job Details', ' Competitive Base Salary!', ' Extremely Competitive Benefits Package!', ' Accelerated Career Growth!', 'Why join us?', ' Previous experience as a .NET Engineer with a collaborative approach', 'Senior Software Engineer, .NET For Fast-growth SaaS Company', ' .NET framework expertise']",Mid-Senior level,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
"Senior Software Engineer - Java, AWS, Remote",Optello,"Austin, TX",53 minutes ago,Be among the first 25 applicants,"['', 'Email Your Resume In Word To', ' Work alongside a talented technical team!', 'Optello is proud to be an Equal Opportunity Employer', 'Position:', 'Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : BB7-1609583 -- in the email subject line for your application to be considered.***', 'Experience working on cloud-based products (AWS, Google Cloud, etc.)', ' Vacation / PTO', ' 100% Remote!', 'Experience with Git preferred', ' Tons of room for upward career growth & an opportunity to lead a team from the get-go!', ""7+ years of professional experience developing new features or functionality in Java-based applicationsExperience working on cloud-based products (AWS, Google Cloud, etc.)Strong Relational Database experience (SQL, PostgreSQL, etc.)Experience building and consuming RESTful APIsExperience with Git preferredBachelor's Degree in Computer Science or related field"", ' , Competitive salaries (DOE) and Bonuses', 'You will be responsible for the design, build and deployment of high-performance, cloud-based applications including coding, caching mechanisms, state management, error logging, scalability, environment configuration, testing procedures, etc.', 'In this role, you will work on back end services used for managing large amounts of open data', 'This is a hands-on development role working alongside well-educated engineers, in a high-pace environment!', 'Location:', 'Strong Relational Database experience (SQL, PostgreSQL, etc.)', ""Bachelor's Degree in Computer Science or related field"", 'Your Right to Work', ' Medical, Dental, Vision', 'AND SALARY', ' Certification / educational reimbursements', ' 401(k) and much more!', 'Experience building and consuming RESTful APIs', 'This is a hands-on development role working alongside well-educated engineers, in a high-pace environment!You will be responsible for the design, build and deployment of high-performance, cloud-based applications including coding, caching mechanisms, state management, error logging, scalability, environment configuration, testing procedures, etc.In this role, you will work on back end services used for managing large amounts of open data', ' Industry Leading Software', ' Industry Leading Software Work alongside a talented technical team! Tons of room for upward career growth & an opportunity to lead a team from the get-go!', '7+ years of professional experience developing new features or functionality in Java-based applications', ' 100% Remote! , Competitive salaries (DOE) and Bonuses Vacation / PTO Certification / educational reimbursements Medical, Dental, Vision 401(k) and much more!', 'Salary:']",Associate,Full-time,Information Technology,Construction,2020-11-03 08:56:07
Remote Senior Software Engineer,Jobot,"San Juan Capistrano, CA",5 hours ago,Be among the first 25 applicants,"['', ' Bachelor’s Degree in Computer Science or related category, or demonstrable equivalent experience.', 'A Bit About Us', ' Implement well structured, unit tested, clean, and maintainable code.', ' Strong written and verbal communication skills.', ' At least 4 years of software development experience including 1 in a senior role.', 'Come join a fast growing leader in Healthcare!', ' Experience with HTML/JavaScript/JQuery and modern UI framework experience such as AngularJS or React.', ' Healthcare or finance experience. Experience with high transaction enterprise systems. Experience with 3rd party logging solutions such as NLog, Log4Net, ELMAH. Experience with 3rd party monitoring solutions such as datadog, dynatrace, Stackify, ANTS profiler, etc. Experience with modern data frameworks such as Entity Framework, Dapper, or NHibernate. Experience with HTML/JavaScript/JQuery and modern UI framework experience such as AngularJS or React. AWS experience. Kubernetes and Docker. Asynchronous and fault-tolerant programming practices using modern MQ technologies.', ' Healthcare or finance experience.', 'Job Details', 'Benefits', ' Make others better through code reviews, documentation, technical guidance, and mentoring.', ' Build microservices and REST APIs capable of handling high volume traffic. Implement well structured, unit tested, clean, and maintainable code. Collaborate with the Products group to understand user and business needs, and work on execution plans. Work with your team and engineering management to develop new architectures and strategies to deliver value. Make others better through code reviews, documentation, technical guidance, and mentoring.', ' Experience with modern data frameworks such as Entity Framework, Dapper, or NHibernate.', ' Build microservices and REST APIs capable of handling high volume traffic.', ' Significant experience with API development and microservices.', 'Requirements', ' Experience with high transaction enterprise systems.', ' Asynchronous and fault-tolerant programming practices using modern MQ technologies.', ' Experience with 3rd party logging solutions such as NLog, Log4Net, ELMAH.', ' Kubernetes and Docker.', ' Experience with 3rd party monitoring solutions such as datadog, dynatrace, Stackify, ANTS profiler, etc.', ' Strong programming experience with SQL Server as a data store (Transactions, locking etc.)', ' Bachelor’s Degree in Computer Science or related category, or demonstrable equivalent experience. At least 4 years of software development experience including 1 in a senior role. Significant experience with API development and microservices. Expert knowledge and experience with C#. Strong programming experience with SQL Server as a data store (Transactions, locking etc.) Strong written and verbal communication skills.', ' AWS experience.', ' Collaborate with the Products group to understand user and business needs, and work on execution plans.', ' Work with your team and engineering management to develop new architectures and strategies to deliver value.', 'Why join us?', ' Expert knowledge and experience with C#.']",Mid-Senior level,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
100% REMOTE Senior Software Engineer (Java/AWS),Optello,"Clear Lake, IA",53 minutes ago,Be among the first 25 applicants,"['', 'Email Your Resume In Word To', 'Optello is proud to be an Equal Opportunity Employer', ' Leverage automated build and deploy processes to create and execute integration tests', '401K + Company Match', ' Experience with enterprise application development', ' BS in Computer Science or related field 5+ years of experience in Java development Experience with enterprise application development Experience with AWS', 'Remote OpportunityGrowth OpportunityFull BenefitsGenerous PTOPaid HolidaysPaid Volunteer Time3 weeks of paid parental leaveWellness reimbursements for gym memberships, equipment, etc.401K + Company Match', 'Specific Responsibilities Will Include', ' Experience with AWS', ' 5+ years of experience in Java development', ' Develop highly secure, maintainable code', ' Collaborate with teammates and clients- from requirements review and design to implementation, testing, deployment and triage', 'Wellness reimbursements for gym memberships, equipment, etc.', 'Remote Opportunity', 'Your Right to Work', 'Growth Opportunity', ' BS in Computer Science or related field', 'Paid Volunteer Time', 'Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : AH9-1609898 -- in the email subject line for your application to be considered.***', ' Identify, fix and communicate defects throughout the software engineering process', ' Provide leadership for a team of SW Engineers- reviewing designs and code to enable continued growth and foster a culture of excellence', '3 weeks of paid parental leave', 'Generous PTO', 'Paid Holidays', 'Full Benefits', ' Develop highly secure, maintainable code Leverage automated build and deploy processes to create and execute integration tests Identify, fix and communicate defects throughout the software engineering process Collaborate with teammates and clients- from requirements review and design to implementation, testing, deployment and triage Provide leadership for a team of SW Engineers- reviewing designs and code to enable continued growth and foster a culture of excellence']",Associate,Full-time,Information Technology,Construction,2020-11-03 08:56:07
Remote Senior Software Engineer,Jobot,"San Juan Capistrano, CA",5 hours ago,Be among the first 25 applicants,"['', ' Bachelor’s Degree in Computer Science or related category, or demonstrable equivalent experience.', 'A Bit About Us', ' Implement well structured, unit tested, clean, and maintainable code.', ' Strong written and verbal communication skills.', ' At least 4 years of software development experience including 1 in a senior role.', 'Come join a fast growing leader in Healthcare!', ' Experience with HTML/JavaScript/JQuery and modern UI framework experience such as AngularJS or React.', ' Healthcare or finance experience. Experience with high transaction enterprise systems. Experience with 3rd party logging solutions such as NLog, Log4Net, ELMAH. Experience with 3rd party monitoring solutions such as datadog, dynatrace, Stackify, ANTS profiler, etc. Experience with modern data frameworks such as Entity Framework, Dapper, or NHibernate. Experience with HTML/JavaScript/JQuery and modern UI framework experience such as AngularJS or React. AWS experience. Kubernetes and Docker. Asynchronous and fault-tolerant programming practices using modern MQ technologies.', ' Healthcare or finance experience.', 'Job Details', 'Benefits', ' Make others better through code reviews, documentation, technical guidance, and mentoring.', ' Build microservices and REST APIs capable of handling high volume traffic. Implement well structured, unit tested, clean, and maintainable code. Collaborate with the Products group to understand user and business needs, and work on execution plans. Work with your team and engineering management to develop new architectures and strategies to deliver value. Make others better through code reviews, documentation, technical guidance, and mentoring.', ' Experience with modern data frameworks such as Entity Framework, Dapper, or NHibernate.', ' Build microservices and REST APIs capable of handling high volume traffic.', ' Significant experience with API development and microservices.', 'Requirements', ' Experience with high transaction enterprise systems.', ' Asynchronous and fault-tolerant programming practices using modern MQ technologies.', ' Experience with 3rd party logging solutions such as NLog, Log4Net, ELMAH.', ' Kubernetes and Docker.', ' Experience with 3rd party monitoring solutions such as datadog, dynatrace, Stackify, ANTS profiler, etc.', ' Strong programming experience with SQL Server as a data store (Transactions, locking etc.)', ' Bachelor’s Degree in Computer Science or related category, or demonstrable equivalent experience. At least 4 years of software development experience including 1 in a senior role. Significant experience with API development and microservices. Expert knowledge and experience with C#. Strong programming experience with SQL Server as a data store (Transactions, locking etc.) Strong written and verbal communication skills.', ' AWS experience.', ' Collaborate with the Products group to understand user and business needs, and work on execution plans.', ' Work with your team and engineering management to develop new architectures and strategies to deliver value.', 'Why join us?', ' Expert knowledge and experience with C#.']",Mid-Senior level,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
Senior Software Engineer - Remote,Optello,"Evanston, IL",54 minutes ago,Be among the first 25 applicants,"['', 'Email Your Resume In Word To', ' Ensuring data security through best practices and testing', 'Optello is proud to be an Equal Opportunity Employer', ' Working in a dynamic software development team following agile methodologies Building features (front and back end) for internal data tracking and analysis Ensuring data security through best practices and testing Maintaining code integrity and organization Optimizing existing features for speed, reproducibility and ease of access', ' Node.js', ' Optimizing existing features for speed, reproducibility and ease of access', ' Competitive compensation and base salary Full benefits: Medical, Dental, Vision 401 (K) with generous company match Life Insurance coverage Paid time off (PTO) Vacation, sick, and paid holidays Apply directly to this job opening here', 'Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : KH7-1603925 -- in the email subject line for your application to be considered.***', ' Competitive compensation and base salary', ' Working in a dynamic software development team following agile methodologies', ' Building features (front and back end) for internal data tracking and analysis', ' E-mail directly for more information to krisandra.humltanner@Optello.com', ' JavaScript', ' 3+ years of professional experience in software development', ' Agile', 'You Should Know Some Of The Following', ' Express.js', ' Life Insurance coverage', ' Flask', ' Paid time off (PTO)', 'Your Right to Work', ' Python', ' Full benefits: Medical, Dental, Vision', ' JavaScript Python SQL NoSQL Agile Node.js Express.js Flask', ' 401 (K) with generous company match', ' Maintaining code integrity and organization', ' NoSQL', ' Apply directly to this job opening here', ' SQL', ' Vacation, sick, and paid holidays']",Associate,Full-time,Design,Construction,2020-11-03 08:56:07
Lead Software Engineer,Jobot,"Las Vegas, NV",5 hours ago,Be among the first 25 applicants,"['', ' Experience and understanding of microservices architecture, design and principles', ' Have experience mentoring and training more junior Engineers', 'A Bit About Us', ' Minimum 8-10 years experience', ' Understanding of systems and infrastructure and how services connect and communicate with one another', 'REMOTE! Well-Funded Startup - Lead Backend Engineer needed! (Ruby/Golang)', ' Minimum 8-10 years experience Experience with Ruby/Rails, Golang Experience with Docker Experience and understanding of microservices architecture, design and principles Experience with AWS tooling (EC2, S3, CDK, Code Pipeline, Fargate, SQS, SNS, API Gateway, etc) Understanding of systems and infrastructure and how services connect and communicate with one another Able to take high-level business requirements and User Stories and translate to technical specifications with good documentation and diagrams Have experience mentoring and training more junior Engineers Previous start-up experience is a plus', ' Previous start-up experience is a plus', ' Competitive Base Salary! Extremely Competitive Equity Package! Flexible Work Schedules! Accelerated Career Growth!', ' Flexible Work Schedules!', ' Experience with AWS tooling (EC2, S3, CDK, Code Pipeline, Fargate, SQS, SNS, API Gateway, etc)', 'Job Details', ' Experience with Ruby/Rails, Golang', ' Competitive Base Salary!', ' Extremely Competitive Equity Package!', ' Accelerated Career Growth!', 'Why join us?', ' Experience with Docker', ' Able to take high-level business requirements and User Stories and translate to technical specifications with good documentation and diagrams']",Mid-Senior level,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
REMOTE Full Stack Software Engineer,Optello,"Provo, UT",54 minutes ago,Be among the first 25 applicants,"['', ' BSCS or equivalent technical degree preferred', 'Email Your Resume In Word To', ' Comprehensive benefits package (Medical, Dental, Vision)', 'Optello is proud to be an Equal Opportunity Employer', ' Experience with RESTful APIs', ' Strong skills with C#', ' PTO', ' Cutting-edge tech!', 'Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : NG5-1605383 -- in the email subject line for your application to be considered.***', ' 3+ years of professional experience in full stack software development', ' 401k', ' Fun and innovative company culture', ' BSCS or equivalent technical degree preferred 3+ years of professional experience in full stack software development Strong skills with C# Strong skills with cloud tech (AWS, GCP, and/or Azure) Experience with RESTful APIs Experience with .NET Core', ' Experience with .NET Core', ' HUGE opportunity for growth! Competitive base salary! Cutting-edge tech!', ' Competitive base salary!', ' HUGE opportunity for growth!', 'Your Right to Work', ' Strong skills with cloud tech (AWS, GCP, and/or Azure)', ' Competitive base salary! Comprehensive benefits package (Medical, Dental, Vision) 401k PTO Opportunity to work remotely Fun and innovative company culture', ' Opportunity to work remotely']",Entry level,Full-time,Information Technology,Construction,2020-11-03 08:56:07
Lead Software Engineer,Jobot,"Aliso Viejo, CA",5 hours ago,Be among the first 25 applicants,"['', ' Open-source project contributor', 'A Bit About Us', ' Japanese language and culture', ' Software-as-a-service (SaaS)', ' 10+ years experience; 5+ with C / C++ / Python 5+ years experience with low-level Linux / BSD (FreeBSD) / kernel File systems, object/block-based storage and networking', ' 5+ years experience with low-level Linux / BSD (FreeBSD) / kernel', ' Distributed systems', ' 10+ years experience; 5+ with C / C++ / Python', ' Collaborative culture with top-tier benefits and amenities.', 'Job Details', ' Comprehensive healthcare coverage, 401(k) matching', ' Streaming (voice / video / games)', ' File systems, object/block-based storage and networking', ' Employee discounts, commuter assistance, remote / work from home (during the stay-at-home orders), relocation assistance (if needed)', 'Lead Software Engineer - C / C++ / Python / Streaming with FreeBSD', 'Why join us?', ' Competitive Base Salary! ', ' Competitive Base Salary!  Employee discounts, commuter assistance, remote / work from home (during the stay-at-home orders), relocation assistance (if needed) Comprehensive healthcare coverage, 401(k) matching Collaborative culture with top-tier benefits and amenities.']",Mid-Senior level,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
Full Stack Software Engineer-Java and Kotlin-LOCAL CANDIDATES!,Optello,"Chicago, IL",55 minutes ago,Be among the first 25 applicants,"['', ' 120,000 - $150,000 Annual Base Salary DOE Full Medical, Dental and Vision Benefits PTO Temp remote until vaccine for covid is out!So, if you are a Full Stack Software Engineer with experience, please apply today!Please apply to job with most updated resume or send resume to: wendy.warner@Optello.comEmail Your Resume In Word ToLooking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:Wendy.Warner@Optello.comPlease do NOT change the email subject line in any way. You must keep the JobID: linkedin : WW2-1607238 -- in the email subject line for your application to be considered.***Wendy Warner - Associate Manager - OptelloApplicants must be authorized to work in the U.S.Optello is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.', 'Job Location: ', ' C#', ' Kotlin', 'Email Your Resume In Word To', 'Optello is proud to be an Equal Opportunity Employer', ' Java', 'Job Title: ', 'Please apply to job with most updated resume or send resume to: wendy.warner@Optello.com', ' PTO', 'Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : WW2-1607238 -- in the email subject line for your application to be considered.***', ' Full Medical, Dental and Vision Benefits PTO Temp remote until vaccine for covid is out!', ' CI/CD', ' AWS/Azure', ' Temp remote until vaccine for covid is out!', ' Java Kotlin C# REACT Spring JavaScript AWS/Azure SQL CI/CD', ' JavaScript', 'Your Right to Work', 'Salary: ', 'Requirements: ', ' Spring', ' Full Medical, Dental and Vision Benefits', ' SQL', ' REACT']",Entry level,Full-time,Information Technology,Construction,2020-11-03 08:56:07
Lead Software Engineer,Jobot,"Los Angeles, CA",5 hours ago,Be among the first 25 applicants,"['', ' Experience and understanding of microservices architecture, design and principles', ' Have experience mentoring and training more junior Engineers', 'A Bit About Us', ' Minimum 8-10 years experience', ' Understanding of systems and infrastructure and how services connect and communicate with one another', 'REMOTE! Well-Funded Startup - Lead Backend Engineer needed! (Ruby/Golang)', ' Minimum 8-10 years experience Experience with Ruby/Rails, Golang Experience with Docker Experience and understanding of microservices architecture, design and principles Experience with AWS tooling (EC2, S3, CDK, Code Pipeline, Fargate, SQS, SNS, API Gateway, etc) Understanding of systems and infrastructure and how services connect and communicate with one another Able to take high-level business requirements and User Stories and translate to technical specifications with good documentation and diagrams Have experience mentoring and training more junior Engineers Previous start-up experience is a plus', ' Previous start-up experience is a plus', ' Competitive Base Salary! Extremely Competitive Equity Package! Flexible Work Schedules! Accelerated Career Growth!', ' Flexible Work Schedules!', ' Experience with AWS tooling (EC2, S3, CDK, Code Pipeline, Fargate, SQS, SNS, API Gateway, etc)', 'Job Details', ' Experience with Ruby/Rails, Golang', ' Competitive Base Salary!', ' Extremely Competitive Equity Package!', ' Accelerated Career Growth!', 'Why join us?', ' Experience with Docker', ' Able to take high-level business requirements and User Stories and translate to technical specifications with good documentation and diagrams']",Mid-Senior level,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
Software Engineer - C++ (Prominent Tech Startup),Optello,"Brooklyn, NY",55 minutes ago,Be among the first 25 applicants,"['', 'Email Your Resume In Word To', ""Technologies we currently use: Python, Go, Node.js + Express, Javascript/Typescript/React, C++ , Docker, Terraform, Docker-compose, Kubernetes Buildkite, Veertu Anka, AWS, Google Cloud Platform, macOS, Linux-Top Reasons to Work with UsYou'll get to join a tight-knit group working to create a more free and connected world through disruptive technologies. HIGHLY Competitive compensation package Start up environment You get to work at the forefront of disruptive technologiesRelocation Assistance Offered if NecessaryWhat You Need for this PositionC++ 11 or 14 experienceWriting native modules for use by high-level languages (node.js, wasm, etcStrong proficiency in C++, with solid knowledge of language specificationMastery of STL, Boost and LambdasBA/MS degree in Computer Science or related degreeExtra credit:  Blockchain experienceSo, if you are a Software Engineer with modern C++ experience, please apply today!Email Your Resume In Word ToLooking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:Lauren.Doversola@Optello.comPlease do NOT change the email subject line in any way. You must keep the JobID: linkedin : LD4-1603408 -- in the email subject line for your application to be considered.***Lauren Doversola - Lead Recruiter - OptelloApplicants must be authorized to work in the U.S.Optello is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Optello will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance."", 'Optello is proud to be an Equal Opportunity Employer', 'Job Title: ', 'Able to work independently with minimal guidance on tasks', 'Develop blockchain smart contract solutions and provide support for smart contract development', ' Start up environment', 'Writing native modules for use by high-level languages (node.js, wasm, etc', 'Identify bottlenecks and bugs, and devise solutions to these problems', 'Help maintain code quality, organization, and automatization', 'Qualifications: ', ""Responsibilities Include, But Aren't Limited To"", 'Relocation Assistance Offered if Necessary', 'Extra credit:  Blockchain experienceSo, if you are a Software Engineer with modern C++ experience, please apply today!Email Your Resume In Word ToLooking forward to receiving your resume through our website and going over the position with you. Clicking apply is the best way to apply, but you may also:Lauren.Doversola@Optello.comPlease do NOT change the email subject line in any way. You must keep the JobID: linkedin : LD4-1603408 -- in the email subject line for your application to be considered.***Lauren Doversola - Lead Recruiter - OptelloApplicants must be authorized to work in the U.S.Optello is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Optello will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.', 'Location:', 'C++ 11 or 14 experienceWriting native modules for use by high-level languages (node.js, wasm, etcStrong proficiency in C++, with solid knowledge of language specificationMastery of STL, Boost and LambdasBA/MS degree in Computer Science or related degree', ' You get to work at the forefront of disruptive technologies', 'Mastery of STL, Boost and Lambdas', 'Design, build, and maintain efficient, reusable, and reliable C++ codeDevelop blockchain smart contract solutions and provide support for smart contract developmentImplement performance and quality modulesIdentify bottlenecks and bugs, and devise solutions to these problemsHelp maintain code quality, organization, and automatizationAble to work independently with minimal guidance on tasks', 'C++ 11 or 14 experience', ' HIGHLY Competitive compensation package Start up environment You get to work at the forefront of disruptive technologiesRelocation Assistance Offered if Necessary', 'Please do NOT change the email subject line in any way. You must keep the JobID: linkedin : LD4-1603408 -- in the email subject line for your application to be considered.***', 'Your Right to Work', 'Salary: ', 'Design, build, and maintain efficient, reusable, and reliable C++ code', ' HIGHLY Competitive compensation package', ""Technologies we currently use: Python, Go, Node.js + Express, Javascript/Typescript/React, C++ , Docker, Terraform, Docker-compose, Kubernetes Buildkite, Veertu Anka, AWS, Google Cloud Platform, macOS, Linux-Top Reasons to Work with UsYou'll get to join a tight-knit group working to create a more free and connected world through disruptive technologies. HIGHLY Competitive compensation package Start up environment You get to work at the forefront of disruptive technologiesRelocation Assistance Offered if NecessaryWhat You Need for this PositionC++ 11 or 14 experienceWriting native modules for use by high-level languages (node.js, wasm, etcStrong proficiency in C++, with solid knowledge of language specificationMastery of STL, Boost and LambdasBA/MS degree in Computer Science or related degree"", 'Strong proficiency in C++, with solid knowledge of language specification', 'BA/MS degree in Computer Science or related degree', 'Implement performance and quality modules']",Entry level,Full-time,Information Technology,Construction,2020-11-03 08:56:07
Remote Senior Software Engineer,Jobot,"Northbrook, IL",5 hours ago,Be among the first 25 applicants,"['', ' 100% Work from Home Opportunity!', ' Flexible Schedule!', 'Job Details', ' Golang Backend Experience React.js  MySQL, MongoDB, and / or Elastic Search Databases Flutter is a HUGE PLUS AWS background including S3, RDS, Lex', 'A Bit About Us', 'Leading Care Management Company Seeks a Senior Software Developer!!', 'Why join us?', ' Excellent Benefits!', ' Competitive Base Salary up to $110k! 100% Work from Home Opportunity! Excellent Benefits! Flexible Schedule!', ' Flutter is a HUGE PLUS', ' AWS background including S3, RDS, Lex', ' MySQL, MongoDB, and / or Elastic Search Databases', ' Golang Backend Experience', ' React.js ', ' Competitive Base Salary up to $110k!']",Mid-Senior level,Full-time,Engineering,Information Technology and Services,2020-11-03 08:56:07
